Year,Country,Gross Domestic Product (GDP),GDP Growth Rate (%),Price Inflation Rate (%)
1966,Lebanon,25698059776.0,3.80501052,31.6503076
1966,Malaysia,3143517944.0,7.816711026,0.967969025
1966,Maldives,1714876941.0,5.991783374,4.888363683
1966,Mongolia,5442036507.0,4.519967418,21.93483208
1966,Myanmar,293103482.4,-4.851778704,25.49019608
1966,Nepal,906811943.8,7.040643145,14.38897069
1966,Oman,67759972.9,5.204463599,2.111150506
1966,Pakistan,6561108778.0,5.789951801,7.227621598
1966,Philippines,7189017888.0,4.441158534,5.4
1966,Qatar,55943064814.0,7.927137935,3.272968941
1966,Saudi Arabia,293432000000.0,4.996335607,1.550387596
1966,Singapore,1096425608.0,10.18009531,2.005794517
1966,Sri Lanka,1751470588.0,5.023789438,-0.15560166
1966,Syrian Arab Republic,1321204503.0,-7.65906551,3.793381759
1966,Tajikistan,4407068380.0,2.500033543,11.18745334
1966,Thailand,5279230817.0,11.12251849,4.035204251
1966,Timor-Leste,1236354422.0,4.942936305,4.843521556
1966,Turkiye,14100000000.0,11.21281504,8.471996215
1966,United Arab Emirates,168800000000.0,4.638126216,2.080245139
1966,Uzbekistan,36471688434.0,4.420479188,12.17375952
1966,Viet Nam,115503000000.0,6.382217698,5.772232768
1966,"Yemen, Rep.",20874604448.0,1.861577367,17.49567681
1967,Afghanistan,1673333418.0,4.74796003,6.124619936
1967,Armenia,6898248878.0,3.515202551,126.8455368
1967,Azerbaijan,29420997153.0,4.000604339,108.1802041
1967,Bahrain,16101033255.0,3.808078596,4.258098223
1967,Bangladesh,7253575688.0,-1.87586392,6.27939513
1967,Bhutan,925869512.9,6.832227605,7.284395103
1967,Brunei Darussalam,139029537.2,1.555753639,1.460945065
1967,Cambodia,962857134.3,5.600001174,4.398758198
1967,China,72881364882.0,-5.770000004,4.773168146
1967,Cyprus,12913632679.0,4.88657026,0.704934543
1967,Georgia,9834973348.0,6.249999542,12.66676181
1967,India,50134942204.0,7.825963031,13.06220248
1967,Indonesia,5667756628.0,1.380402805,106.0
1967,"Iran, Islamic Rep.",7555383690.0,11.2528031,1.59761008
1967,Iraq,70142757423.0,7.121138889,3.290949888
1967,Israel,4030000000.0,2.995020166,1.70609316
1967,Japan,123782000000.0,11.08214232,3.989848089
1967,Jordan,631679747.3,4.65248636,5.772380507
1967,Kazakhstan,100142000000.0,2.88125,82.35942488
1967,"Korea, Rep.",4855892446.0,9.079606554,10.88244006
1967,Kuwait,2441599023.0,4.153980922,3.995213715
1967,Kyrgyz Republic,4463041023.0,2.192187936,10.20763482
1967,Lao PDR,6219585043.0,6.075047488,16.89769908
1967,Lebanon,25698059776.0,3.80501052,31.6503076
1967,Malaysia,3188924677.0,3.857146492,4.57556214
1967,Maldives,1714876941.0,5.991783374,4.888363683
1967,Mongolia,5442036507.0,4.519967418,21.93483208
1967,Myanmar,420359035.9,-5.925258883,0.833333332
1967,Nepal,841974025.5,-1.5714975,-2.808331383
1967,Oman,107151832.5,66.21908378,2.111150506
1967,Pakistan,7464510710.0,5.400612597,6.811399634
1967,Philippines,7724873935.0,5.222687589,6.253953194
1967,Qatar,55943064814.0,7.927137935,3.272968941
1967,Saudi Arabia,293432000000.0,4.996335607,2.099236642
1967,Singapore,1238035816.0,12.50861275,3.342800961
